PLACEKEY,LATITUDE,LONGITUDE,STREET_ADDRESS,CITY,REGION,POSTAL_CODE,PARENT_PLACEKEY,TOP_CATEGORY,SUB_CATEGORY,placekeys_y,store_names_y
222-222@5qw-w33-f9f,32.780704,-97.418821,1200 Meandering Rd,Fort Worth,TX,76114,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5qw-w33-f9f,Horror Ride
223-223@3x4-mwk-ct9,48.229104,-116.276191,47392 Highway 200,Hope,ID,83836,,"Scenic and Sightseeing Transportation, Land","Scenic and Sightseeing Transportation, Land",223-223@3x4-mwk-ct9,Pend Oreille Charters
22b-222@63k-yk4-p35,36.502142,-81.770847,784 Furnace Creek Rd,Mountain City,TN,37683,,RV (Recreational Vehicle) Parks and Recreational Camps,,22b-222@63k-yk4-p35,Callantee Atv & Campground
zzy-222@5vg-tzj-7nq,38.537264,-120.442162,Omo Ranch Rd,Somerset,CA,95684,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@5vg-tzj-7nq,Sugar Pine Springs Resort
225-222@62j-wq6-389,42.977352,-70.958622,120 Front St,Exeter,NH,03833,,Amusement Parks and Arcades,Amusement and Theme Parks,225-222@62j-wq6-389,New Outlook
zzy-222@5ps-79d-gtv,35.054063,-92.41531,Us 65 South,Conway,AR,72032,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5ps-79d-gtv,Lake Conway
222-222@628-chy-3wk,40.464912,-75.128191,146 Red Hill Rd,Ottsville,PA,18942,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@628-chy-3wk,Camp Galil
zzy-222@5s6-h4n-hkf,41.677639,-85.049886,W Sycamore Beach Rd,Angola,IN,46703,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-222@5s6-h4n-hkf,Crooked Lake
224-222@8gk-2d3-nh5,30.149787,-85.762966,6104 Thomas Dr,Panama City Beach,FL,32408,,RV (Recreational Vehicle) Parks and Recreational Camps,,224-222@8gk-2d3-nh5,Panama City Fl Resorts
22f-22y@8fw-223-9cq,25.788049,-80.14059,1521 Alton Rd,Miami Beach,FL,33139,,Amusement Parks and Arcades,Amusement and Theme Parks,22f-22y@8fw-223-9cq,Yacht Rentals Miami
zzy-222@64h-2rq-835,35.12636,-75.919624,4352 Irvin Garrish Hwy,Ocracoke,NC,27960,zzy-222@64h-2rk-sdv,RV (Recreational Vehicle) Parks and Recreational Camps,,zzy-222@64h-2rq-835,Ocracoke Island Campground
zzw-222@8fc-sxq-bx5,30.132504,-93.965418,17450 Ih 10,Vidor,TX,77662,,RV (Recreational Vehicle) Parks and Recreational Camps,,zzw-222@8fc-sxq-bx5,Texas Star RV Park
zzy-223@8gg-whm-jy9,35.113432,-83.264365,9760 Highlands Rd,Highlands,NC,28741,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@8gg-whm-jy9,Cullasaja Falls
222-222@64g-72r-fj9,36.003391,-75.654039,1217 S Croatan Hwy,Kill Devil Hills,NC,27948,,Amusement Parks and Arcades,Amusement Arcades,222-222@64g-72r-fj9,Destination Fun
222-222@5qs-zq8-mkz,35.365515,-97.510941,2900 N Santa Fe Ave,Moore,OK,73160,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@5qs-zq8-mkz,G S O
zzy-223@3x6-rtf-bx5,53.547521,-113.897803,6 Agrena Rd,Spruce Grove,AB,T7X 2C6,,Amusement Parks and Arcades,Amusement and Theme Parks,zzy-223@3x6-rtf-bx5,Spruce Grove Saints
224-222@8g9-9qq-t7q,36.093477,-85.7972,2750 Wolf Creek Rd,Silver Point,TN,38582,,RV (Recreational Vehicle) Parks and Recreational Camps,,224-222@8g9-9qq-t7q,Little Dam Campground
223-222@63d-6rf-x89,40.270297,-80.130128,3970 Washington Rd,Canonsburg,PA,15317,,Amusement Parks and Arcades,Amusement and Theme Parks,223-222@63d-6rf-x89,Canonsburg Lake
228-223@627-v7f-xt9,40.794561,-74.479707,12 Community Pl,Morristown,NJ,07960,,Amusement Parks and Arcades,Amusement and Theme Parks,228-223@627-v7f-xt9,Christian Science Reading Rooms Morristown
222-222@8fc-f5k-bff,29.596449,-95.557456,3333 5th St,Fifth Street,TX,77477,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@8fc-f5k-bff,Fort Bend Boat & RV Storage
222-222@8g8-y8n-qvf,35.365638,-84.284886,7310 Highway 360,Tellico Plains,TN,37385,,RV (Recreational Vehicle) Parks and Recreational Camps,,222-222@8g8-y8n-qvf,Tellico Plains K O A Campgrounds
223-222@8sv-74d-xwk,32.263437,-101.512693,1314 Highway 176,Big Spring,TX,79720,,RV (Recreational Vehicle) Parks and Recreational Camps,,223-222@8sv-74d-xwk,West Texas Friendly RV Park North Big Spring
222-224@5s5-hh2-vmk,42.31938,-85.465466,8415 E H Ave,Kalamazoo,MI,49048,,Amusement Parks and Arcades,Amusement and Theme Parks,222-224@5s5-hh2-vmk,Robert Morris Disc Golf Course
222-225@5pk-8x7-d7q,39.831622,-89.640661,801 E Sangamon Ave,Springfield,IL,62702,,Amusement Parks and Arcades,Amusement and Theme Parks,222-225@5pk-8x7-d7q,Adventure Village
222-222@8dy-sr5-nt9,29.650186,-90.753579,5459 Vicari St,Houma,LA,70364,,Amusement Parks and Arcades,Amusement and Theme Parks,222-222@8dy-sr5-nt9,Oakshire Recreation
24s-222@8dj-k7b-7wk,27.794416,-82.792513,13999 Gulf Blvd Ste C4,Madeira Beach,FL,33708,,RV (Recreational Vehicle) Parks and Recreational Camps,,24s-222@8dj-k7b-7wk,Itrip Vacations
