County,RPL_THEME1,RPL_THEME2,RPL_THEME3,RPL_THEME4,RPL_THEMES
Hot Spring County,0.5278,0.4458,0.4998,0.868,0.6437
Howard County,0.8342,0.9949,0.7521,0.4423,0.8797
Independence County,0.7655,0.7843,0.4314,0.8912,0.8241
Izard County,0.8043,0.3541,0.3592,0.6885,0.671
Jackson County,0.8667,0.4534,0.5927,0.4874,0.7101
Jefferson County,0.7951,0.8015,0.931,0.9453,0.9096
Johnson County,0.8769,0.98,0.5679,0.6478,0.895
Lafayette County,0.8622,0.6408,0.8031,0.6064,0.8075
Lawrence County,0.763,0.7636,0.1572,0.6408,0.7003
Lee County,0.958,0.9144,0.917,0.8829,0.9714
Lincoln County,0.6058,0.1409,0.749,0.7372,0.5864
Little River County,0.3643,0.538,0.6468,0.3255,0.4197
Logan County,0.4967,0.6802,0.335,0.5603,0.5444
Lonoke County,0.3684,0.7063,0.4445,0.2536,0.4063
Madison County,0.6096,0.6411,0.5953,0.2405,0.5272
Marion County,0.6726,0.5495,0.182,0.2246,0.4588
Miller County,0.908,0.7136,0.7028,0.9812,0.9354
Mississippi County,0.9007,0.9456,0.8151,0.7878,0.9335
Monroe County,0.9147,0.7773,0.8447,0.9275,0.9341
Montgomery County,0.7455,0.8314,0.2959,0.1954,0.5765
Nevada County,0.7913,0.8731,0.7502,0.7448,0.8527
Newton County,0.4359,0.2275,0.2109,0.0961,0.1985
Ouachita County,0.6767,0.8912,0.8377,0.4298,0.7464
Perry County,0.286,0.6284,0.2692,0.5991,0.4292
Phillips County,0.9526,0.9402,0.9453,0.7633,0.9628
Pike County,0.4706,0.7598,0.4248,0.6449,0.5972
Poinsett County,0.8234,0.8546,0.4273,0.4127,0.7381
Polk County,0.7506,0.8447,0.377,0.4174,0.6863
Pope County,0.7817,0.8727,0.489,0.727,0.8171
Prairie County,0.4178,0.7674,0.4496,0.2844,0.4601
Pulaski County,0.6573,0.8011,0.8702,0.6844,0.7811
Randolph County,0.7696,0.7941,0.2816,0.5336,0.7051
St. Francis County,0.9421,0.943,0.924,0.9284,0.9777
Saline County,0.1502,0.6459,0.5011,0.3312,0.2864
Scott County,0.7146,0.9001,0.4658,0.5759,0.7537
Searcy County,0.6847,0.5011,0.3484,0.3086,0.517
Sebastian County,0.7957,0.9675,0.6962,0.6491,0.8696
Sevier County,0.8256,0.8864,0.833,0.4804,0.825
Sharp County,0.728,0.7808,0.2364,0.2959,0.5838
Stone County,0.7731,0.8336,0.2733,0.7299,0.7709
Union County,0.5485,0.7668,0.7798,0.5479,0.6682
Van Buren County,0.8101,0.8661,0.2164,0.6678,0.7763
Washington County,0.7407,0.4871,0.7178,0.8094,0.7658
White County,0.7716,0.7878,0.4057,0.9488,0.8482
Woodruff County,0.7859,0.6767,0.6752,0.6303,0.7671
Yell County,0.5714,0.8276,0.6211,0.8591,0.7738
Alameda County,0.2962,0.0862,0.9605,0.9205,0.5129
Alpine County,0.1429,0.6402,0.8008,0.5352,0.4044
Amador County,0.4477,0.398,0.6096,0.7725,0.5647
Butte County,0.7706,0.4843,0.6806,0.9437,0.8225
Calaveras County,0.5425,0.4706,0.552,0.0614,0.3357
Colusa County,0.8931,0.9026,0.9465,0.3315,0.84
Contra Costa County,0.3223,0.4343,0.917,0.5113,0.4785
Del Norte County,0.7814,0.6395,0.7735,0.9927,0.9004
El Dorado County,0.1836,0.2008,0.5994,0.2186,0.1896
Fresno County,0.943,0.8772,0.9685,0.875,0.9618
Glenn County,0.945,0.6443,0.8734,0.5937,0.8622
Humboldt County,0.7805,0.6538,0.6475,0.8851,0.8269
Imperial County,0.9682,0.9392,0.9943,0.979,0.9936
Inyo County,0.4162,0.5234,0.7881,0.7716,0.6147
Kern County,0.957,0.8339,0.9545,0.9265,0.9685
Kings County,0.9354,0.839,0.9593,0.8753,0.9507
Lake County,0.8696,0.9236,0.7089,0.7999,0.9055
Lassen County,0.861,0.3748,0.7464,0.8769,0.8231
Los Angeles County,0.895,0.2825,0.9736,0.9176,0.8629
Madera County,0.9567,0.9036,0.9532,0.7859,0.9593
Marin County,0.1616,0.3637,0.6764,0.6682,0.37
Mariposa County,0.6542,0.922,0.5711,0.9465,0.8613
Mendocino County,0.8934,0.9803,0.749,0.9418,0.9726
Merced County,0.973,0.888,0.9736,0.8517,0.973
Modoc County,0.693,0.8998,0.5927,0.7852,0.8186
Mono County,0.4143,0.02,0.7321,0.7375,0.3891
Monterey County,0.8272,0.581,0.964,0.8724,0.8686
Napa County,0.4983,0.4127,0.8702,0.8692,0.6831
Nevada County,0.3013,0.2444,0.4699,0.1632,0.2148
Orange County,0.5412,0.1791,0.9252,0.6605,0.5692
Placer County,0.1212,0.3182,0.6793,0.2469,0.1992
Plumas County,0.3659,0.3672,0.4948,0.4903,0.4088
Riverside County,0.7948,0.6736,0.9504,0.6822,0.8199
Sacramento County,0.6255,0.636,0.9084,0.7343,0.7509
San Benito County,0.5072,0.6685,0.9564,0.1639,0.5094
San Bernardino County,0.8896,0.7563,0.9726,0.7464,0.8858
San Diego County,0.6281,0.2202,0.9007,0.8759,0.7057
San Francisco County,0.2876,0.0302,0.9284,0.9561,0.482
San Joaquin County,0.8075,0.8174,0.9637,0.7509,0.8718
San Luis Obispo County,0.4254,0.2256,0.7038,0.7553,0.5227
San Mateo County,0.1292,0.0655,0.9351,0.7121,0.2899
Santa Barbara County,0.8419,0.3401,0.9065,0.9599,0.8667
Santa Clara County,0.1349,0.0859,0.9612,0.8206,0.3614
Santa Cruz County,0.4948,0.1327,0.8225,0.9182,0.6131
Shasta County,0.6096,0.833,0.5679,0.7919,0.7649
Sierra County,0.5994,0.2599,0.3888,0.1654,0.3522
Siskiyou County,0.7649,0.7458,0.6185,0.7206,0.7884
Solano County,0.4499,0.5186,0.9415,0.6787,0.6201
Sonoma County,0.4108,0.4025,0.7706,0.7146,0.5562
Stanislaus County,0.8482,0.8323,0.9252,0.5889,0.8511
Sutter County,0.8444,0.8874,0.9036,0.5883,0.8641
Tehama County,0.8253,0.9892,0.7213,0.7728,0.9271
Trinity County,0.769,0.7388,0.5444,0.5107,0.7206
Tulare County,0.9602,0.8524,0.9707,0.5705,0.9147
Tuolumne County,0.5501,0.622,0.5415,0.6876,0.6319
Ventura County,0.5921,0.3312,0.9017,0.6293,0.6249
Yolo County,0.6198,0.1572,0.8966,0.9653,0.7366
Yuba County,0.8651,0.9109,0.8616,0.8651,0.9268
Adams County,0.6825,0.6758,0.8832,0.545,0.7264
Alamosa County,0.5721,0.7658,0.889,0.9411,0.8253
Arapahoe County,0.4101,0.4038,0.8031,0.4117,0.4661
Archuleta County,0.5237,0.1473,0.5969,0.2304,0.3484
Baca County,0.5463,0.4566,0.4839,0.5832,0.5472
Bent County,0.8937,0.2692,0.8377,0.9838,0.8804
Boulder County,0.2202,0.0169,0.5892,0.5962,0.209
Broomfield County,0.0353,0.0557,0.6128,0.1088,0.0436
Chaffee County,0.5657,0.693,0.4378,0.5915,0.6096
Cheyenne County,0.0843,0.4197,0.5294,0.0334,0.0837
Clear Creek County,0.3245,0.0356,0.4018,0.1677,0.1394
Conejos County,0.8062,0.8311,0.8931,0.608,0.8377
Costilla County,0.8511,0.9965,0.9462,0.2466,0.8727
Crowley County,0.8823,0.5864,0.8571,0.8059,0.86
Custer County,0.2905,0.0404,0.377,0.083,0.1012
Delta County,0.6312,0.7086,0.5383,0.3344,0.581
Denver County,0.546,0.057,0.8447,0.8486,0.5603
Dolores County,0.0923,0.2673,0.5819,0.3439,0.1858
Douglas County,0.0083,0.078,0.5383,0.064,0.022
Eagle County,0.4219,0.0719,0.7321,0.4445,0.3497
Elbert County,0.0038,0.0127,0.4445,0.001,0.0006
El Paso County,0.4168,0.3153,0.7038,0.5052,0.4604
Fremont County,0.5889,0.4286,0.5542,0.8511,0.6688
Garfield County,0.5002,0.5247,0.7191,0.6634,0.6058
Gilpin County,0.2491,0.0064,0.4416,0.2727,0.0967
Grand County,0.3891,0.0089,0.4932,0.2456,0.1565
Gunnison County,0.2116,0.0022,0.4273,0.5997,0.1222
Hinsdale County,0.2335,0.4419,0.2984,0.0054,0.0869
Huerfano County,0.5778,0.5075,0.7636,0.3236,0.5383
Jackson County,0.8781,0.049,0.3824,0.1085,0.3751
Jefferson County,0.1193,0.0337,0.5829,0.2164,0.0948
Kiowa County,0.5024,0.4785,0.2214,0.1724,0.3312
Kit Carson County,0.5756,0.9211,0.5829,0.4604,0.6825
Lake County,0.2342,0.0165,0.776,0.1368,0.1152
La Plata County,0.2965,0.0108,0.5797,0.7031,0.258
Larimer County,0.2676,0.0105,0.5161,0.3824,0.1524
Las Animas County,0.8645,0.9065,0.8571,0.7706,0.9068
Lincoln County,0.4197,0.0528,0.6045,0.6612,0.385
Logan County,0.4327,0.2135,0.5867,0.9593,0.6004
Mesa County,0.5772,0.6497,0.5371,0.6691,0.6462
Mineral County,0.4878,0.0083,0.1654,0.0185,0.056
Moffat County,0.7003,0.8944,0.5501,0.7913,0.8164
Montezuma County,0.567,0.6382,0.6516,0.5164,0.6061
Montrose County,0.6013,0.7337,0.6102,0.1591,0.5164
Morgan County,0.706,0.8075,0.8116,0.8346,0.8371
Otero County,0.8479,0.9551,0.8651,0.9211,0.9535
Ouray County,0.307,0.064,0.2587,0.0423,0.0834
Park County,0.1374,0.0092,0.3592,0.0013,0.0032
Phillips County,0.4868,0.5348,0.6624,0.1775,0.4203
Pitkin County,0.0897,0.0124,0.5119,0.266,0.0617
Prowers County,0.8183,0.965,0.8151,0.966,0.9615
Pueblo County,0.6914,0.8826,0.8686,0.8314,0.8533
Rio Blanco County,0.5177,0.5937,0.4871,0.4184,0.5167
Rio Grande County,0.5463,0.9214,0.8616,0.721,0.7868
Routt County,0.1985,0.0395,0.4613,0.2596,0.1314
Saguache County,0.8791,0.8177,0.7989,0.0652,0.6608
San Juan County,0.7595,0.2179,0.5501,0.1168,0.4276
