FID,sky,tree,road,grass,person,earth,wall,fence,building,plant,car,signboard,awning,streetlight,sidewalk,ashcan,water,mountain,van,bicycle,bridge,railing,column,chair,minibike,fountain,sculpture,pier,booth,ceiling,lake,windowpane,skyscraper,lamp,sofa,bulletin board,desk,glass
zzy-222@628-ph5-g49_270_19072,0.229785,0.333079,0.386006,0.030864,0.0,0.00094,0.0,0.0,0.0,2.7e-05,0.0,0.002622,0.0,0.000225,0.006028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-ph5-g49_90_19072,0.070186,0.439226,0.352417,0.028718,0.0,0.001548,0.0,0.0,0.004912,0.052319,0.000662,0.005588,0.0,2.2e-05,0.044346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-pn8-djv_0_08052,0.328154,0.176013,0.0,0.105266,0.0,0.091953,0.0,0.0,0.013176,0.000498,0.001399,0.0,0.0,0.000757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-pn8-djv_180_08052,0.3901,0.062739,0.390105,0.031421,0.0,0.000244,0.000168,0.004893,0.06209,0.017751,0.001438,0.0,0.0,0.000747,0.038164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-pn8-djv_270_08052,0.218347,0.346284,0.135762,0.02623,0.0,0.0,8.8e-05,0.003118,0.001208,0.0,0.001565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-pn8-djv_90_08052,0.385715,0.099817,0.415862,0.032756,0.0,0.000129,0.000693,0.01603,0.023394,0.010269,0.002639,1.5e-05,0.0,1.2e-05,0.01218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-prt-4jv_0_19054,0.386521,0.142886,0.331074,0.139045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-prt-4jv_180_19054,0.404741,0.050623,0.123052,0.168462,0.0,0.0,0.0,0.0,0.075876,0.001643,0.027168,0.000918,0.0,0.0,0.147517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-prt-4jv_270_19054,0.344812,0.169375,0.341155,0.080337,0.0,0.004211,0.0,0.006743,0.003875,0.004988,0.0,0.004138,0.0,0.002659,0.029832,0.0,0.0,0.0,0.0,0.0,0.002388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zzy-222@628-prt-4jv_90_19054,0.391113,0.092834,0.392678,0.065364,0.0,0.0,0.0,0.0,0.020278,0.004919,0.001511,0.0,0.0,0.00032,0.013162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
